id_penginapan,nama_tempat,longitude,latitude,rating,id_daerah,alamat
405,MaxOneHotels.com @ Dharmahusada - Surabaya,112.771152,-7.267384,4,5,http://maps.google.com/?q=MaxOneHotels.com+@+Dharmahusada+-+Surabaya
406,Yello Hotel Jemursari,112.7540904,-7.3155923,4,5,http://maps.google.com/?q=Yello+Hotel+Jemursari
407,D'Carol Hotel Surabaya,112.73002,-7.247072199999998,4,5,http://maps.google.com/?q=D'Carol+Hotel+Surabaya
408,Life Hotel Sudirman Surabaya,112.742343,-7.272176,4,5,http://maps.google.com/?q=Life+Hotel+Sudirman+Surabaya
409,Novotel Surabaya Hotel &amp; Suites,112.742909,-7.296002,4,5,http://maps.google.com/?q=Novotel+Surabaya+Hotel+&amp;+Suites
410,La Lisa Hotel Surabaya,112.761975,-7.305143,4,5,http://maps.google.com/?q=La+Lisa+Hotel+Surabaya
411,BATIQA Hotel Darmo - Surabaya,112.74061732817232,-7.294285813472827,4,5,http://maps.google.com/?q=BATIQA+Hotel+Darmo+-+Surabaya
412,Halogen Hotel Airport Surabaya,112.761063,-7.371703,4,5,http://maps.google.com/?q=Halogen+Hotel+Airport+Surabaya
413,Arimbi Pejaten Suites,106.826923,-6.277947,4,1,http://maps.google.com/?q=Arimbi+Pejaten+Suites
414,The St. Regis Jakarta,106.827499,-6.206046,5,1,http://maps.google.com/?q=The+St.+Regis+Jakarta
415,Ashley Tang Menteng,106.82463213801384,-6.185000808605861,4,1,http://maps.google.com/?q=Ashley+Tang+Menteng
416,Hariston Hotel & Suites,106.787725,-6.137193,4,1,http://maps.google.com/?q=Hariston+Hotel+&+Suites
417,Ashley Tanah Abang,106.81736481779473,-6.186250433648075,4,1,http://maps.google.com/?q=Ashley+Tanah+Abang
418,Aloft Jakarta Wahid Hasyim,106.827273,-6.186723,4,1,http://maps.google.com/?q=Aloft+Jakarta+Wahid+Hasyim
419,Mandarin Oriental Jakarta,106.82364080000002,-6.1961069,4,1,http://maps.google.com/?q=Mandarin+Oriental+Jakarta
420,Swiss-Belinn Kemayoran,106.850211,-6.1493974,4,1,http://maps.google.com/?q=Swiss-Belinn+Kemayoran
421,Grand Tjokro Jakarta,106.78167,-6.165725,4,1,http://maps.google.com/?q=Grand+Tjokro+Jakarta
422,Easton Park Apartment Jatinangor by Diajeng,107.76518599999996,-6.9364236,4,3,http://maps.google.com/?q=Easton+Park+Apartment+Jatinangor+by+Diajeng
423,Dago Heuvel Resort and Villa,107.6436917908768,-6.859359176017268,4,3,http://maps.google.com/?q=Dago+Heuvel+Resort+and+Villa
424,Swiss-Belresort Dago Heritage Bandung,107.6252879,-6.8669056,4,3,http://maps.google.com/?q=Swiss-Belresort+Dago+Heritage+Bandung
425,Grandia Hotel Bandung,107.604483,-6.900855,4,3,http://maps.google.com/?q=Grandia+Hotel+Bandung
426,V Hotel & Residence,107.584433,-6.881761,4,3,http://maps.google.com/?q=V+Hotel+&+Residence
427,d'primahotel Bandung,107.596367,-6.886018,4,3,http://maps.google.com/?q=d'primahotel+Bandung
428,Hotel Dafam Rio,107.62925259768964,-6.914218513250424,4,3,http://maps.google.com/?q=Hotel+Dafam+Rio
429,Saka Hotel Medan,98.626657,3.588622,4,9,http://maps.google.com/?q=Saka+Hotel+Medan
430,OYO 873 Kamani Homestay Syariah,98.62827629999992,3.571947,4,9,http://maps.google.com/?q=OYO+873+Kamani+Homestay+Syariah
431,Arabia Hotel,95.32019420000006,5.557784499999999,4,10,http://maps.google.com/?q=Arabia+Hotel
432,Ayani Hotel Banda Aceh,95.319169,5.556965,4,10,http://maps.google.com/?q=Ayani+Hotel+Banda+Aceh
433,MyHome Hotel Aceh,95.3202692,5.556309799999999,4,10,http://maps.google.com/?q=MyHome+Hotel+Aceh
434,HW Hotel Padang,100.355494022369,-0.958362233906709,4,11,http://maps.google.com/?q=HW+Hotel+Padang
435,OYO 3092 Falah Residence Syariah,100.39740679449484,-0.9464238829851408,4,11,http://maps.google.com/?q=OYO+3092+Falah+Residence+Syariah
436,Hotel Savali,100.355162,-0.9573,4,11,http://maps.google.com/?q=Hotel+Savali
437,UNP Hotel & Convention Center,100.3504613,-0.8993410000000001,4,11,http://maps.google.com/?q=UNP+Hotel+&+Convention+Center
438,OYO 4010 Zaara Guest House Syariah,100.3767538,-0.9465224,4,11,http://maps.google.com/?q=OYO+4010+Zaara+Guest+House+Syariah
439,Palanta Roemah Kajoe Syariah,100.38020419999998,-0.9643718999999998,4,11,http://maps.google.com/?q=Palanta+Roemah+Kajoe+Syariah
440,Fafan Budget Hotel Syariah,100.3579389,-0.9157572,4,11,http://maps.google.com/?q=Fafan+Budget+Hotel+Syariah
441,OYO 236 Penginapan Rumah Hijau,104.73578939999992,-2.955325,4,12,http://maps.google.com/?q=OYO+236+Penginapan+Rumah+Hijau
442,Bina Darma Hotel Palembang,104.7727545,-2.997658,4,12,http://maps.google.com/?q=Bina+Darma+Hotel+Palembang
443,Radial Mas,104.7486192005249,-2.9814977980487085,4,12,http://maps.google.com/?q=Radial+Mas
444,THE 1O1 Bogor Suryakancana,106.80296003635408,-6.607528257682807,4,7,http://maps.google.com/?q=THE+1O1+Bogor+Suryakancana
445,Swiss-Belcourt Bogor,106.7819359,-6.5535235,4,7,http://maps.google.com/?q=Swiss-Belcourt+Bogor
446,The Highland Park Resort Bogor,106.729335,-6.658037,4,7,http://maps.google.com/?q=The+Highland+Park+Resort+Bogor
447,Izi Hotel,106.8127867962952,-6.60548629470116,4,7,http://maps.google.com/?q=Izi+Hotel
448,Lido Lake Resort by MNC Hotel,106.80795,-6.7448904,4,7,http://maps.google.com/?q=Lido+Lake+Resort+by+MNC+Hotel
449,Royal Hotel Bogor,106.795768737793,-6.60375499725342,4,7,http://maps.google.com/?q=Royal+Hotel+Bogor
450,Hotel Permata Bogor,106.80504772883604,-6.597454966707796,4,7,http://maps.google.com/?q=Hotel+Permata+Bogor
451,CICO Resort (Cottage & Convention),106.83264,-6.590313,4,7,http://maps.google.com/?q=CICO+Resort+(Cottage+&+Convention)
452,Polaz  Bed & Brew,106.816714,-6.581343,4,7,http://maps.google.com/?q=Polaz++Bed+&+Brew
453,Metro Park View Hotel,110.4232794,-6.971200199999999,4,4,http://maps.google.com/?q=Metro+Park+View+Hotel
454,Wimarion Hotel Semarang,110.41825745254756,-7.007911018174739,4,4,http://maps.google.com/?q=Wimarion+Hotel+Semarang
455,Hotel Dafam Semarang,110.411366,-6.979482,4,4,http://maps.google.com/?q=Hotel+Dafam+Semarang
456,Grand Panorama Hotel,110.39090657867094,-7.204250616736443,4,4,http://maps.google.com/?q=Grand+Panorama+Hotel
457,Terra Cassa Hotel,110.366437,-7.223311,4,4,http://maps.google.com/?q=Terra+Cassa+Hotel
458,PORTA by The Ambarrukmo,110.381978,-7.776703200000001,4,2,http://maps.google.com/?q=PORTA+by+The+Ambarrukmo
459,"KIMAYA Sudirman Yogyakarta, By HARRIS",110.3777969,-7.782718699999998,4,2,"http://maps.google.com/?q=KIMAYA+Sudirman+Yogyakarta,+By+HARRIS"
460,Sahid Raya Hotel & Convention Yogyakarta,110.414337,-7.779828,4,2,http://maps.google.com/?q=Sahid+Raya+Hotel+&+Convention+Yogyakarta
461,Greenhost Boutique Hotel,110.369119,-7.820081,4,2,http://maps.google.com/?q=Greenhost+Boutique+Hotel
462,Bohemian Jogja Villas With Private Pool,110.3591851,-7.7574578,4,2,http://maps.google.com/?q=Bohemian+Jogja+Villas+With+Private+Pool
463,Horison Ultima Riss Malioboro Yogyakarta,110.364412,-7.788017,4,2,http://maps.google.com/?q=Horison+Ultima+Riss+Malioboro+Yogyakarta
464,@HOM Premiere Timoho,110.39245589999996,-7.798514499999999,4,2,http://maps.google.com/?q=@HOM+Premiere+Timoho
465,favehotel Malioboro - Yogyakarta,110.369769,-7.785702,4,2,http://maps.google.com/?q=favehotel+Malioboro+-+Yogyakarta
466,Grand Amira Hotel Solo by Azana,110.828134,-7.584146,4,6,http://maps.google.com/?q=Grand+Amira+Hotel+Solo+by+Azana
467,Mandala Wisata Hotel,110.798539,-7.564658,4,6,http://maps.google.com/?q=Mandala+Wisata+Hotel
468,Kusuma Sahid Prince Hotel,110.826846,-7.566944,4,6,http://maps.google.com/?q=Kusuma+Sahid+Prince+Hotel
469,Best Western Papilio Hotel,112.72998329999996,-7.331106199999998,4,5,http://maps.google.com/?q=Best+Western+Papilio+Hotel
470,MIRA inn Kayoon Surabaya City Center,112.74839799999997,-7.268157000000002,4,5,http://maps.google.com/?q=MIRA+inn+Kayoon+Surabaya+City+Center
471,Hotel Majapahit Surabaya - MGallery,112.740077,-7.259726,4,5,http://maps.google.com/?q=Hotel+Majapahit+Surabaya+-+MGallery
