id_image,id_penginapan,url_image
56,56,https://storage.googleapis.com/tenan-bucket/hotel_images/Shangri-La%20Jakarta.jpg
57,57,https://storage.googleapis.com/tenan-bucket/hotel_images/Grand%20Mercure%20Jakarta%20Harmoni.jpg
58,58,https://storage.googleapis.com/tenan-bucket/hotel_images/eL%20Hotel%20Royale%20Bandung.jpg
59,59,https://storage.googleapis.com/tenan-bucket/hotel_images/Grand%20Tjokro%20Premiere%20Bandung.jpg
60,60,https://storage.googleapis.com/tenan-bucket/hotel_images/Four%20Points%20by%20Sheraton%20Bandung.jpg
61,61,https://storage.googleapis.com/tenan-bucket/hotel_images/Aryaduta%20Bandung.jpg
62,62,https://storage.googleapis.com/tenan-bucket/hotel_images/Hilton%20Bandung.jpg
63,63,https://storage.googleapis.com/tenan-bucket/hotel_images/InterContinental%20Hotels%20BANDUNG%20DAGO%20PAKAR.jpg
64,64,https://storage.googleapis.com/tenan-bucket/hotel_images/Clove%20Garden%20Hotel%20%26%20Residence.jpg
65,65,https://storage.googleapis.com/tenan-bucket/hotel_images/Moxy%20Bandung.jpg
66,66,https://storage.googleapis.com/tenan-bucket/hotel_images/ibis%20Bandung%20Trans%20Studio.jpg
67,67,https://storage.googleapis.com/tenan-bucket/hotel_images/Apartment%20Gateway%20Cicadas%20by%20GPro.jpg
68,68,https://storage.googleapis.com/tenan-bucket/hotel_images/Holiday%20Inn%20BANDUNG%20PASTEUR.jpg
69,69,https://storage.googleapis.com/tenan-bucket/hotel_images/Kytos%20Hotel.jpg
70,70,https://storage.googleapis.com/tenan-bucket/hotel_images/Crowne%20Plaza%20BANDUNG.jpg
71,71,https://storage.googleapis.com/tenan-bucket/hotel_images/Apartmen%20The%20Suite%20Metro%20By%20Faris%20Bunbun.jpg
72,72,https://storage.googleapis.com/tenan-bucket/hotel_images/The%20Papandayan.jpg
73,73,https://storage.googleapis.com/tenan-bucket/hotel_images/THE%201O1%20Bandung%20Dago.jpg
74,74,https://storage.googleapis.com/tenan-bucket/hotel_images/GH%20Universal%20Hotel.jpg
75,75,https://storage.googleapis.com/tenan-bucket/hotel_images/The%20Suites%20Metro%20by%20Desta%20Faris.jpg
76,76,https://storage.googleapis.com/tenan-bucket/hotel_images/Sheraton%20Bandung%20Hotel%20%26%20Towers.jpg
77,77,https://storage.googleapis.com/tenan-bucket/hotel_images/Jan%C3%A9valla%20Bandung.jpg
78,78,https://storage.googleapis.com/tenan-bucket/hotel_images/Grand%20Hotel%20Preanger.jpg
79,79,https://storage.googleapis.com/tenan-bucket/hotel_images/Shakti%20Hotel%20Bandung.jpg
80,80,https://storage.googleapis.com/tenan-bucket/hotel_images/The%20Luxton%20Bandung.jpg
81,81,https://storage.googleapis.com/tenan-bucket/hotel_images/Maison%20Teraskita%20Bandung.jpg
82,82,https://storage.googleapis.com/tenan-bucket/hotel_images/Serela%20Riau%20by%20KAGUM%20Hotels.jpg
83,83,https://storage.googleapis.com/tenan-bucket/hotel_images/Harris%20Hotel%20%26%20Conventions%20Festival%20Citilink%20Bandung.jpg
84,84,https://storage.googleapis.com/tenan-bucket/hotel_images/Horison%20Ultima%20Bandung.jpg
85,85,https://storage.googleapis.com/tenan-bucket/hotel_images/Atlantic%20City.jpg
86,86,https://storage.googleapis.com/tenan-bucket/hotel_images/Nine%20Inn%20by%20Edotel%20Dbest.jpg
87,87,https://storage.googleapis.com/tenan-bucket/hotel_images/Grand%20Serela%20Setiabudhi%20by%20KAGUM%20Hotels.jpg
88,88,https://storage.googleapis.com/tenan-bucket/hotel_images/Courtyard%20by%20Marriott%20Bandung%20Dago%2C%20CHSE%20Certified.jpg
89,89,https://storage.googleapis.com/tenan-bucket/hotel_images/Serela%20Merdeka%20by%20KAGUM%20Hotels.jpg
90,90,https://storage.googleapis.com/tenan-bucket/hotel_images/Amaroossa%20Bandung.jpg
91,91,https://storage.googleapis.com/tenan-bucket/hotel_images/Banana%20Inn%20by%20KAGUM%20Hotels.jpg
92,92,https://storage.googleapis.com/tenan-bucket/hotel_images/POP%21%20Hotel%20Festival%20Citylink%20-%20Bandung.jpg
93,93,https://storage.googleapis.com/tenan-bucket/hotel_images/Sensa%20Hotel%20Bandung.jpg
94,94,https://storage.googleapis.com/tenan-bucket/hotel_images/ibis%20Bandung%20Pasteur.jpg
95,95,https://storage.googleapis.com/tenan-bucket/hotel_images/Mercure%20Bandung%20City%20Centre.jpg
96,96,https://storage.googleapis.com/tenan-bucket/hotel_images/Grand%20Sunshine%20Resort%20and%20Convention.jpg
97,97,https://storage.googleapis.com/tenan-bucket/hotel_images/Serela%20Waringin%20by%20KAGUM%20Hotels.jpg
98,98,https://storage.googleapis.com/tenan-bucket/hotel_images/Sukajadi%20Hotel%2C%20Convention%20and%20Gallery.jpg
99,99,https://storage.googleapis.com/tenan-bucket/hotel_images/De%20Paviljoen%20Bandung.jpg
100,100,https://storage.googleapis.com/tenan-bucket/hotel_images/Cinnamon%20Hotel%20Boutique%20Syariah.jpg
101,101,https://storage.googleapis.com/tenan-bucket/hotel_images/Zest%20Hotel%20Sukajadi%20Bandung.jpg
102,102,https://storage.googleapis.com/tenan-bucket/hotel_images/Hotel%2088%20Bandung%20Kopo.jpg
103,103,https://storage.googleapis.com/tenan-bucket/hotel_images/Sari%20Ater%20Kamboti%20Hotel%20Bandung.jpg
104,104,https://storage.googleapis.com/tenan-bucket/hotel_images/Kedaton%20Hotel.jpg
105,105,https://storage.googleapis.com/tenan-bucket/hotel_images/Hemangini%20Hotel%20Bandung.jpg
106,106,https://storage.googleapis.com/tenan-bucket/hotel_images/Cambridge%20Hotel%20Medan.jpg
107,107,https://storage.googleapis.com/tenan-bucket/hotel_images/JW%20Marriott%20Hotel%20Medan.jpg
108,108,https://storage.googleapis.com/tenan-bucket/hotel_images/Horison%20Sky%20Kualanamu.jpg
109,109,https://storage.googleapis.com/tenan-bucket/hotel_images/Hotel%20Anaya.jpg
110,110,https://storage.googleapis.com/tenan-bucket/hotel_images/Prime%20Plaza%20Hotel%20Kualanamu.jpg
111,111,https://storage.googleapis.com/tenan-bucket/hotel_images/Cordex%20Hotel%20Medan.jpg
112,112,https://storage.googleapis.com/tenan-bucket/hotel_images/Miyanna%20Hotel.jpg
113,113,https://storage.googleapis.com/tenan-bucket/hotel_images/SELECTA%20HOTEL.jpg
114,114,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%202361%20Hotel%20Winston.jpg
115,115,https://storage.googleapis.com/tenan-bucket/hotel_images/Grand%20Kanaya%20Hotel.jpg
116,116,https://storage.googleapis.com/tenan-bucket/hotel_images/CREW%20EXPRESS%20Hotel.jpg
117,117,https://storage.googleapis.com/tenan-bucket/hotel_images/Hotel%20Antares.jpg
118,118,https://storage.googleapis.com/tenan-bucket/hotel_images/Swasana%20Hotel%20Medan.jpg
119,119,https://storage.googleapis.com/tenan-bucket/hotel_images/Cordela%20Inn%20Millenium%20Medan.jpg
120,120,https://storage.googleapis.com/tenan-bucket/hotel_images/Alpha%20Inn%20Medan.jpg
121,121,https://storage.googleapis.com/tenan-bucket/hotel_images/Cordela%20Hotel%20Medan.jpg
122,122,https://storage.googleapis.com/tenan-bucket/hotel_images/Pardede%20International%20Hotel%20Medan.jpg
123,123,https://storage.googleapis.com/tenan-bucket/hotel_images/Wisma%20Sederhana%20Budget%20Hotel.jpg
124,124,https://storage.googleapis.com/tenan-bucket/hotel_images/Hotel%20Menara%20Lexus.jpg
125,125,https://storage.googleapis.com/tenan-bucket/hotel_images/NIVIA%20HOTEL.jpg
126,126,https://storage.googleapis.com/tenan-bucket/hotel_images/Lively%20Hotel%20Kualanamu%20Airport%20Medan.jpg
127,127,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%202345%20Homestay%20Jaya.jpg
128,128,https://storage.googleapis.com/tenan-bucket/hotel_images/Hotel%20Aero.jpg
129,129,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%2090565%20Wesly%20House.jpg
130,130,https://storage.googleapis.com/tenan-bucket/hotel_images/Amaliun%20Hotel.jpg
131,131,https://storage.googleapis.com/tenan-bucket/hotel_images/Odua%20Golden%20Mansyur%20Medan.jpg
132,132,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%2090457%20Anara%20Residence%20%26%20Guest%20House.jpg
133,133,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%201457%20Tmj%20Guest%20House.jpg
134,134,https://storage.googleapis.com/tenan-bucket/hotel_images/Putra%20Mulia%20Hotel.jpg
135,135,https://storage.googleapis.com/tenan-bucket/hotel_images/Alam%20Hotel%20by%20Cordela.jpg
136,136,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%202574%20Z%20Suites%20Hotel.jpg
137,137,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%20456%20Aljadid%20Guest%20House%20Syariah.jpg
138,138,https://storage.googleapis.com/tenan-bucket/hotel_images/Kanasha%20Hotel.jpg
139,139,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%201400%20Barat%20Residence%20Syariah.jpg
140,140,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%2090447%20Kardopa%20Hotel%20Megapark.jpg
141,141,https://storage.googleapis.com/tenan-bucket/hotel_images/Huber%20Apartment.jpg
142,142,https://storage.googleapis.com/tenan-bucket/hotel_images/My%20Studio%20Hotel%20Kualanamu%20Airport%20Medan.jpg
143,143,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%201183%20Papakoel.jpg
144,144,https://storage.googleapis.com/tenan-bucket/hotel_images/Vivo%20Stay.jpg
145,145,https://storage.googleapis.com/tenan-bucket/hotel_images/OYO%20359%20Executive%20Inn.jpg
