id_image,id_wisata,url_image
70,70,https://storage.googleapis.com/tenan-bucket/images/Perpustakaan%20Nasional.jpg
71,71,https://storage.googleapis.com/tenan-bucket/images/Cibubur%20Garden%20Diary%20(Cibugary).jpg
72,72,https://storage.googleapis.com/tenan-bucket/images/Waterboom%20PIK%20(Pantai%20Indah%20Kapuk).jpg
73,73,https://storage.googleapis.com/tenan-bucket/images/Museum%20Perangko.jpg
74,74,https://storage.googleapis.com/tenan-bucket/images/Museum%20Tengah%20Kebun.jpg
75,75,https://storage.googleapis.com/tenan-bucket/images/SnowBay%20Waterpark.jpg
76,76,https://storage.googleapis.com/tenan-bucket/images/Taman%20Cattleya.jpg
77,77,https://storage.googleapis.com/tenan-bucket/images/Taman%20Hutan%20Tebet.jpg
78,78,https://storage.googleapis.com/tenan-bucket/images/Hutan%20Kota%20Srengseng.jpg
79,79,https://storage.googleapis.com/tenan-bucket/images/Taman%20Spathodea.jpg
80,80,https://storage.googleapis.com/tenan-bucket/images/Plaza%20Indonesia.jpg
81,81,https://storage.googleapis.com/tenan-bucket/images/Mall%20Thamrin%20City.jpg
82,82,https://storage.googleapis.com/tenan-bucket/images/Museum%20Satria%20Mandala.jpg
83,83,https://storage.googleapis.com/tenan-bucket/images/Alive%20Museum%20Ancol.jpg
84,84,https://storage.googleapis.com/tenan-bucket/images/Kawasan%20Kuliner%20BSM.jpg
85,85,https://storage.googleapis.com/tenan-bucket/images/Taman%20Pintar%20Yogyakarta.jpg
86,86,https://storage.googleapis.com/tenan-bucket/images/Keraton%20Yogyakarta.jpg
87,87,https://storage.googleapis.com/tenan-bucket/images/Sindu%20Kusuma%20Edupark%20(SKE).jpg
88,88,https://storage.googleapis.com/tenan-bucket/images/Museum%20Benteng%20Vredeburg%20Yogyakarta.jpg
89,89,https://storage.googleapis.com/tenan-bucket/images/De%20Mata%20Museum%20Jogja.jpg
90,90,https://storage.googleapis.com/tenan-bucket/images/Kampung%20Wisata%20Taman%20Sari.jpg
91,91,https://storage.googleapis.com/tenan-bucket/images/Situs%20Warungboto.jpg
92,92,https://storage.googleapis.com/tenan-bucket/images/Nol%20Kilometer%20Jl.Malioboro.jpg
93,93,https://storage.googleapis.com/tenan-bucket/images/Gembira%20Loka%20Zoo.jpg
94,94,https://storage.googleapis.com/tenan-bucket/images/Sumur%20Gumuling.jpg
95,95,https://storage.googleapis.com/tenan-bucket/images/Desa%20Wisata%20Sungai%20Code%20Jogja%20Kota.jpg
96,96,https://storage.googleapis.com/tenan-bucket/images/Alun%20Alun%20Selatan%20Yogyakarta.jpg
97,97,https://storage.googleapis.com/tenan-bucket/images/Monumen%20Yogya%20Kembali.jpg
98,98,https://storage.googleapis.com/tenan-bucket/images/Taman%20Pelangi%20Yogyakarta.jpg
99,99,https://storage.googleapis.com/tenan-bucket/images/Kampung%20Wisata%20Kadipaten.jpg
100,100,https://storage.googleapis.com/tenan-bucket/images/Taman%20Budaya%20Yogyakarta.jpg
101,101,https://storage.googleapis.com/tenan-bucket/images/Kampung%20Wisata%20Sosro%20Menduran.jpg
102,102,https://storage.googleapis.com/tenan-bucket/images/Monumen%20Batik%20Yogyakarta.jpg
103,103,https://storage.googleapis.com/tenan-bucket/images/Tugu%20Pal%20Putih%20Jogja.jpg
104,104,https://storage.googleapis.com/tenan-bucket/images/Tebing%20Breksi.jpg
105,105,https://storage.googleapis.com/tenan-bucket/images/Candi%20Donotirto.jpg
106,106,https://storage.googleapis.com/tenan-bucket/images/Kawasan%20Malioboro.jpg
107,107,https://storage.googleapis.com/tenan-bucket/images/Bangsal%20Pagelaran.jpg
108,108,https://storage.googleapis.com/tenan-bucket/images/Embung%20Tambakboyo.jpg
109,109,https://storage.googleapis.com/tenan-bucket/images/Hutan%20Pinus%20Pengger.jpg
110,110,https://storage.googleapis.com/tenan-bucket/images/Monumen%20Serangan%20Umum%201%20Maret.jpg
111,111,https://storage.googleapis.com/tenan-bucket/images/Puncak%20Pinus%20Becici.jpg
112,112,https://storage.googleapis.com/tenan-bucket/images/Bukit%20Bintang%20Yogyakarta.jpg
113,113,https://storage.googleapis.com/tenan-bucket/images/Gedung%20Agung%20Yogyakarta.jpg
114,114,https://storage.googleapis.com/tenan-bucket/images/The%20Lost%20World%20Castle.jpg
115,115,https://storage.googleapis.com/tenan-bucket/images/Monumen%20Sanapati.jpg
116,116,https://storage.googleapis.com/tenan-bucket/images/Jurang%20Tembelan%20Kanigoro.jpg
117,117,https://storage.googleapis.com/tenan-bucket/images/The%20World%20Landmarks%20-%20Merapi%20Park%20Yogyakarta.jpg
118,118,https://storage.googleapis.com/tenan-bucket/images/Museum%20Sonobudoyo%20Unit%20I.jpg
119,119,https://storage.googleapis.com/tenan-bucket/images/Lava%20Bantal.jpg
120,120,https://storage.googleapis.com/tenan-bucket/images/Bukit%20Panguk%20Kediwung.jpg
121,121,https://storage.googleapis.com/tenan-bucket/images/Candi%20Prambanan.jpg
122,122,https://storage.googleapis.com/tenan-bucket/images/Watu%20Goyang.jpg
123,123,https://storage.googleapis.com/tenan-bucket/images/Kampung%20Wisata%20Rejowinangun.jpg
124,124,https://storage.googleapis.com/tenan-bucket/images/Kauman%20Pakualaman%20Yogyakarta.jpg
125,125,https://storage.googleapis.com/tenan-bucket/images/Alun-alun%20Utara%20Keraton%20Yogyakarta.jpg
126,126,https://storage.googleapis.com/tenan-bucket/images/Pantai%20Goa%20Cemara.jpg
127,127,https://storage.googleapis.com/tenan-bucket/images/Blue%20Lagoon%20Jogja.jpg
128,128,https://storage.googleapis.com/tenan-bucket/images/Gumuk%20Pasir%20Parangkusumo.jpg
129,129,https://storage.googleapis.com/tenan-bucket/images/Bukit%20Lintang%20Sewu.jpg
130,130,https://storage.googleapis.com/tenan-bucket/images/Studio%20Alam%20Gamplong.jpg
131,131,https://storage.googleapis.com/tenan-bucket/images/Watu%20Lumbung.jpg
132,132,https://storage.googleapis.com/tenan-bucket/images/Air%20Terjun%20Kedung%20Pedut.jpg
133,133,https://storage.googleapis.com/tenan-bucket/images/Puncak%20Kebun%20Buah%20Mangunan.jpg
134,134,https://storage.googleapis.com/tenan-bucket/images/Desa%20Wisata%20Gamplong.jpg
